tag	number	type	description	category
Consequence	.	String	"Impact modifier for the consequence type (picked by VEP's --flag_pick_allele option)."	vep
Gene	.	String	"Ensembl stable ID of affected gene (picked by VEP's --flag_pick_allele option)."	vep
Feature_type	.	String	"Type of feature. Currently one of Transcript, RegulatoryFeature, MotifFeature (picked by VEP's --flag_pick_allele option)."	vep
Feature	.	String	"Ensembl stable ID of feature (picked by VEP's --flag_pick_allele option)."	vep
cDNA_position	.	String	"Relative position of base pair in cDNA sequence (picked by VEP's --flag_pick_allele option)."	vep
CDS_position	.	String	"Relative position of base pair in coding sequence (picked by VEP's --flag_pick_allele option)."	vep
Protein_position	.	String	"Relative position of amino acid in protein (picked by VEP's --flag_pick_allele option)."	vep
Amino_acids	.	String	"Only given if the variant affects the protein-coding sequence (picked by VEP's --flag_pick_allele option)."	vep
EXON	.	String	"The exon number (out of total number) (picked by VEP's --flag_pick_allele option)."	vep
Codons	.	String	"The alternative codons with the variant base in upper case (picked by VEP's --flag_pick_allele option)."	vep
Existing_variation	.	String	"Database identifiers for existing variants (picked by VEP's --flag_pick_allele option)."	vep
DBSNPRSID	.	String	"dbSNP reference identifier (picked by VEP's --flag_pick_allele option)."	vep
COSMIC_MUTATION_ID	.	String	"COSMIC reference identifier (picked by VEP's --flag_pick_allele option)."	vep
IMPACT	.	String	"Impact modifier for the consequence type (picked by VEP's --flag_pick_allele option)."	vep
VARIANT_CLASS	.	String	"Sequence Ontology variant class (picked by VEP's --flag_pick_allele option)."	vep
SYMBOL	.	String	"Gene symbol (picked by VEP's --flag_pick_allele option)."	vep
SYMBOL_SOURCE	.	String	"The source of the gene symbol (picked by VEP's --flag_pick_allele option)."	vep
HGNC_ID	.	String	"HGNC gene identifier"	vep
STRAND	1	String	"The DNA strand (1 or -1) on which the transcript/feature lies (picked by VEP's --flag_pick_allele option)."	vep
ENSP	1	String	"The Ensembl protein identifier of the affected transcript (picked by VEP's --flag_pick_allele option)."	vep
FLAGS	.	String	"Transcript quality flags: cds_start_NF: CDS 5', incomplete cds_end_NF: CDS 3' incomplete (picked by VEP's --flag_pick_allele option)."	vep
SWISSPROT	.	String	"Best match UniProtKB/Swiss-Prot accession of protein product (picked by VEP's --flag_pick_allele option)."	vep
MANE_SELECT	.	String	"Indicating if the transcript is the MANE Select for the gene (picked by VEP's --flag_pick_allele option)"	vep
MANE_PLUS_CLINICAL	.	String	"Indicating if the transcript is the MANE Plus Clinical transcript for the gene (picked by VEP's --flag_pick_allele option)"	vep
TREMBL	.	String	"Best match UniProtKB/TrEMBL accession of protein product (picked by VEP's --flag_pick_allele option)."	vep
UNIPARC	.	String	"Best match UniParc accession of protein product (picked by VEP's --flag_pick_allele option)."	vep
HGVSc	.	String	"The HGVS coding sequence name (picked by VEP's --flag_pick_allele option)."	vep
HGVSp	.	String	"The HGVS protein sequence name (picked by VEP's --flag_pick_allele option)."	vep
HGVS_OFFSET	.	String	"Indicates by how many bases the HGVS notations for this variant have been shifted (picked by VEP's --flag_pick_allele option)."	vep
MOTIF_NAME	.	String	"The source and identifier of a transcription factor binding profile aligned at this position (picked by VEP's --flag_pick_allele option)."	vep
MOTIF_POS	.	String	"The relative position of the variation in the aligned TFBP (picked by VEP's --flag_pick_allele option)."	vep
HIGH_INF_POS	.	String	"A flag indicating if the variant falls in a high information position of a transcription factor binding profile (TFBP) (picked by VEP's --flag_pick_allele option)."	vep
